country_short,country_long,harmony,embedded,hierarchy,mastery,aff_auton,intel_auton,egalitar,comment
arg,argentina,3.98,3.52,2.1,3.92,3.73,4.34,4.96,NA
aul,austrialia,3.99,3.59,2.29,3.97,3.86,4.35,4.79,NA
aut,austria,4.31,3.11,1.75,3.92,4.29,4.9,4.89,NA
beg,belgium,4.35,3.25,1.69,3.84,3.94,4.64,5.2,NA
bol,bolivia,4.11,4.07,2.66,3.87,2.71,4.34,4.74,NA
bos,bosniaherz,3.88,4.01,1.73,3.79,3.3,4.18,4.66,NA
bra,brazil,4.03,3.62,2.37,3.93,3.52,4.27,4.89,NA
bul,bulgaria,4.13,3.87,2.68,4.02,3.47,4.29,4.13,NA
cam,cameroon,4.19,4.46,2.46,3.6,2.13,3.58,4.68,NA
canE,canada (Eng),3.83,3.46,2.09,4.12,4,4.5,4.8,NA
canF,canada (Fr),4.14,3.15,1.87,3.95,4.31,4.81,4.98,NA
can,canada,3.985,3.305,1.98,4.035,4.155,4.655,4.89,avg of canE and canF
chl,chile,4.33,3.64,2.25,3.78,3.03,4.32,5.06,NA
chn,china,3.78,3.74,3.49,4.41,3.3,4.18,4.23,NA
col,colombia,3.66,3.86,2.9,4.03,3.61,4.3,4.69,NA
cosr,costarica,4.13,3.49,2.29,4.01,3.49,4.37,4.85,NA
cro,croatia,4.02,4,2.55,4.05,3.92,4.35,4.6,NA
cyp,cyprus,4.01,4.04,1.96,3.95,3.21,3.83,4.85,NA
cze,czech rep,4.27,3.59,2.22,3.75,3.49,4.62,4.45,NA
den,denmark,4.16,3.19,1.86,3.91,4.3,4.77,5.03,NA
egy,egypt,3.98,4.45,2.2,3.66,2.5,3.9,4.42,NA
est,estonia,4.31,3.81,2.04,3.79,3.36,4.23,4.58,NA
eth,ethiopia,4.19,4.54,2.33,3.79,2.61,3.94,4.4,NA
fij,fiji,3.83,4.33,2.58,3.77,3.2,3.85,4.67,NA
fin,finland,4.34,3.37,1.8,3.66,3.96,4.93,4.9,NA
fra,france,4.21,3.2,2.21,3.72,4.39,5.13,5.05,NA
geo,georgia,4.09,4.12,2.46,3.73,3.47,4,4.66,NA
gerE,germany e,4.46,3.16,1.77,4,4.28,4.68,4.95,NA
gerW,germany w,4.62,3.03,1.87,3.86,4.11,4.99,5.07,NA
ger,germany,4.54,3.095,1.82,3.93,4.195,4.835,5.01,avg of gerE and gerW
gha,ghana,3.53,4.27,2.68,4.12,2.49,3.89,4.73,NA
gre,greece,4.4,3.41,1.83,4.25,3.92,4.39,4.84,NA
hkng,hongkong,3.5,3.76,2.91,4.08,3.2,4.28,4.5,NA
hun,hungary,4.34,3.6,1.94,3.73,3.63,4.57,4.51,NA
indi,india,3.92,3.97,3.05,4.28,3.48,4.02,4.45,NA
indo,indonesia,3.82,4.27,2.56,3.84,3.41,3.94,4.32,NA
ira,iran,3.69,4.18,3.23,3.91,2.97,3.96,4.53,NA
ire,ireland,3.77,3.41,2.09,4.04,4.05,4.54,4.9,NA
islj,israel jew,3.28,3.61,2.51,4.02,3.79,4.54,4.77,NA
isla,israel arab,3.57,4.09,2.6,4.1,3.37,4.28,4.6,NA
ita,italy,4.62,3.46,1.6,3.81,3.3,4.91,5.27,NA
jap,japan,4.21,3.49,2.65,4.06,3.76,4.78,4.36,NA
jor,jordan,3.67,4.2,2.5,4.2,3.36,4.05,4.4,NA
kors,korea south,3.57,3.68,2.9,4.21,3.46,4.22,4.42,NA
lat,latvia,4.46,3.83,1.8,3.75,3.48,4.22,4.32,NA
mac,macedonia,4.03,3.91,2.72,4,3.01,4.24,4.4,NA
may,malaysia,3.65,4.35,2.25,3.91,2.98,4.15,4.41,NA
mex,mexico,4.5,3.9,2.13,3.9,2.83,4.36,4.73,NA
nam,namibia,3.74,4.04,2.53,4.06,3.29,4.03,4.48,NA
nep,nepal,4.34,4.18,3.03,4.13,2.99,4.07,4.63,NA
net,netherlands,4.05,3.19,1.91,3.97,4.13,4.85,5.03,NA
nwz,newzealand,4.03,3.27,2.27,4.09,4.21,4.65,4.94,NA
nig,nigeria,3.75,4.41,2.72,3.9,2.54,3.66,4.79,NA
nor,norway,4.4,3.45,1.49,3.85,3.69,4.68,5.12,NA
oma,oman,3.71,4.5,2.15,3.83,2.87,3.73,4.49,NA
pak,pakistan,3.99,4.31,2.44,4,3.11,3.76,4.65,NA
per,peru,3.71,3.92,2.76,4.08,2.98,4.3,4.84,NA
phi,philippines,4.04,4.03,2.68,3.76,3,3.95,4.59,NA
pol,poland,3.86,3.86,2.51,3.84,3.32,4.31,4.48,NA
por,portugal,4.27,3.43,1.89,4.11,3.62,4.53,5.21,NA
rom,romania,4.11,3.78,2,4.06,3.45,4.61,4.48,NA
rus,russia,3.9,3.81,2.72,3.96,3.51,4.3,4.38,NA
sen,senegal,3.58,4.45,2.63,3.74,2.39,3.89,4.92,NA
ser,serbia,3.96,3.57,1.61,4.03,3.7,4.72,4.44,NA
sin,singapore,3.76,4,2.82,3.88,3.3,3.86,4.6,NA
slvk,slovakia,4.47,3.82,2,3.83,2.99,4.29,4.58,NA
slvn,slovenia,4.45,3.71,1.62,3.71,3.72,4.88,4.56,NA
afrs,south africa,3.86,4.03,2.59,3.89,3.48,3.85,4.52,NA
spa,spain,4.47,3.31,1.84,3.8,3.67,4.99,5.23,NA
swe,sweden,4.46,3.12,1.83,3.81,4.24,5.09,4.9,NA
swiF,switzerland (fr),4.4,3.04,2.06,3.74,4.33,5.32,5.06,NA
swiG,switzerland (ger),3.94,3.34,2.42,3.97,4.24,4.66,4.92,NA
swi,switzerland,4.17,3.19,2.24,3.855,4.285,4.99,4.99,avg of swiF and swiG
tai,taiwan,4.12,3.82,2.69,4,3.27,4.36,4.31,NA
tha,thailand,3.84,4.02,3.23,3.88,3.63,4.02,4.29,NA
tur,turkey,4.23,3.77,2.97,3.98,3.37,4.45,4.77,NA
uga,uganda,3.97,4.23,2.99,4.02,2.68,3.8,4.39,NA
ukr,ukraine,3.87,3.93,2.56,3.99,3.49,4.08,4.31,NA
uk,unitedkingdom,3.91,3.34,2.33,4.01,4.26,4.62,4.92,NA
usa,unitedstates,3.46,3.67,2.37,4.09,3.87,4.19,4.68,NA
ven,venezuela,3.99,3.74,2.09,4.01,3.26,4.44,4.77,NA
yem,yemen,3.7,4.63,2.28,3.79,2.44,3.68,4.73,NA
zim,zimbabwe,3.62,4.04,2.67,4.19,3.6,3.8,4.3,NA
